,PROPERTY_VALUE_AMT,TARGET,CRDT_LINE_CNT,DEROG_CNT,DEBT_INC_RTIO_AMT,LOAN_AMT,REASON_CDE,YOJ_AMT,MORTGAGE_DUE_AMT,RCNT_CRDT_CNT,OLD_AGE_TRADE_AMT,JOB_CDE,DELINGQ_CNT
49,135792.0,0,26.0,0.0,33.336960792,18000,DebtCon,13.0,90275.0,1.0,178.66176401,Mgr,0.0
50,150364.0,0,,,17.125660427,23000,,,,,,,
51,88603.0,0,23.0,0.0,30.098796700999998,17200,HomeImp,13.0,6126.0,0.0,287.26088687,Other,1.0
52,65111.0,0,22.0,1.0,40.442570389000004,5300,HomeImp,4.0,66987.0,1.0,175.32870382,Sales,0.0
53,85460.0,1,23.0,0.0,,15000,DebtCon,18.0,54294.0,1.0,118.66666667,Other,3.0
54,70095.0,0,24.0,0.0,36.72874424,13000,HomeImp,28.0,53951.0,1.0,212.38692445,Other,3.0
55,270751.0,0,32.0,0.0,29.622368685999998,38900,DebtCon,4.0,198749.0,0.0,245.89544438,ProfExe,0.0
56,135000.0,0,22.0,0.0,,12000,HomeImp,14.0,96000.0,5.0,126.8,ProfExe,0.0
57,87239.0,1,0.0,0.0,33.051073753000004,25500,DebtCon,6.0,63967.0,0.0,,Other,0.0
58,140000.0,0,,,,20000,HomeImp,,99000.0,,,,
59,51720.0,0,9.0,0.0,18.324935275999998,14500,HomeImp,10.0,35799.0,1.0,123.21810499,Other,0.0
60,54314.0,0,22.0,0.0,32.571867291,8400,DebtCon,8.0,35240.0,1.0,210.58001479,Office,0.0
61,93723.0,0,24.0,0.0,35.965898215,15500,DebtCon,19.0,71412.0,11.0,238.50131586,Mgr,0.0
62,70134.0,0,15.0,0.0,43.507938545,18600,DebtCon,8.0,47199.0,3.0,86.55886014100001,Other,0.0
63,116111.0,0,24.0,0.0,32.012701356,13300,HomeImp,8.0,86360.0,0.0,232.29213861,Mgr,0.0
64,184660.0,0,21.0,0.0,28.815035636999998,15200,DebtCon,11.0,137128.0,0.0,254.35602009,Mgr,0.0
65,162994.0,0,52.0,,36.06796344,19600,DebtCon,2.0,128876.0,,382.31221703,Office,1.0
66,76571.0,1,11.0,0.0,31.458500529000002,12900,HomeImp,2.0,29891.0,3.0,29.058670234,Other,0.0
67,96887.0,0,23.0,0.0,28.674701982,16600,HomeImp,14.0,9626.0,0.0,263.76624665,Other,0.0
68,82410.0,1,23.0,1.0,51.517385302,18700,DebtCon,0.0,66003.0,1.0,85.77380757,Mgr,0.0
69,89166.0,0,46.0,0.0,29.869576644000002,8200,HomeImp,23.0,76268.0,1.0,341.8553472,Other,0.0
70,67000.0,1,18.0,0.0,,21000,DebtCon,7.0,42000.0,2.0,65.966666667,Office,0.0
71,125000.0,1,64.0,0.0,,36500,DebtCon,10.0,84978.0,0.0,213.06666667,Self,1.0
72,99400.0,0,26.0,0.0,27.172964706,14200,HomeImp,6.0,83231.0,1.0,130.16751478,ProfExe,0.0
73,95541.0,1,21.0,1.0,17.805848892,20500,DebtCon,28.0,25984.0,0.0,248.40487821,Other,5.0
74,84124.0,0,12.0,0.0,32.948898967,16000,DebtCon,10.0,71670.0,3.0,81.596128837,Other,0.0
75,81598.0,0,20.0,0.0,21.981835715,17000,DebtCon,7.0,70085.0,1.0,117.19539923,Office,0.0
76,109860.0,0,24.0,0.0,40.057527406999995,21000,DebtCon,,81848.0,1.0,173.78616163,Other,0.0
77,143087.0,0,36.0,0.0,40.329542416,38200,DebtCon,13.0,92227.0,1.0,61.178335051000005,Other,0.0
78,157250.0,1,21.0,0.0,,7000,HomeImp,5.0,142251.0,4.0,87.833333333,Other,0.0
79,52910.0,0,18.0,1.0,34.947076581,11100,HomeImp,21.0,47689.0,1.0,224.48075013,Mgr,1.0
80,78000.0,1,24.0,0.0,,11700,DebtCon,20.0,62400.0,2.0,216.06666667,Office,0.0
81,50681.0,1,15.0,0.0,12.386741311,42000,HomeImp,3.0,9999.0,5.0,326.06798565,ProfExe,0.0
82,106187.0,0,21.0,0.0,40.038841103,18500,DebtCon,2.0,81938.0,1.0,282.90060926,ProfExe,0.0
83,99997.0,0,47.0,0.0,35.231392707,20800,DebtCon,1.0,51562.0,0.0,168.31457712,Office,4.0
84,,1,23.0,0.0,,26000,DebtCon,1.0,79714.0,0.0,125.76666667,ProfExe,4.0
85,45913.0,0,13.0,,27.924000892,26300,DebtCon,,,,92.57722407799999,Other,
86,88622.0,0,29.0,0.0,32.66110554,21300,DebtCon,3.0,72450.0,1.0,117.21012608,Other,0.0
87,78635.0,0,31.0,0.0,31.206129763000003,6400,DebtCon,3.0,70035.0,0.0,147.07716353,Sales,0.0
88,122500.0,0,24.0,0.0,,25000,DebtCon,0.0,71700.0,1.0,303.4,Office,0.0
89,60000.0,0,17.0,0.0,,9200,DebtCon,4.0,46707.0,2.0,192.8,Mgr,0.0
90,118750.0,0,26.0,0.0,,12000,HomeImp,3.0,88000.0,0.0,153.5,Mgr,3.0
91,76456.0,0,9.0,0.0,29.383996530999998,15100,DebtCon,5.0,44700.0,0.0,134.50434819999998,Mgr,0.0
92,48278.0,1,16.0,0.0,29.299550944,12300,DebtCon,0.0,24552.0,0.0,171.07510456,Other,0.0
93,110000.0,0,12.0,0.0,,5200,HomeImp,24.0,91250.0,1.0,123.76666667,Office,0.0
94,172705.0,0,23.0,0.0,43.33840720600001,19400,DebtCon,5.0,109812.0,3.0,204.10541489,Office,0.0
95,84973.0,0,30.0,1.0,37.428937524,13400,DebtCon,6.0,67941.0,3.0,179.97707017,Office,3.0
96,98500.0,0,14.0,0.0,,5000,DebtCon,24.0,78565.0,3.0,51.766666666999996,ProfExe,0.0
97,128022.0,0,37.0,0.0,35.980542351,25100,DebtCon,1.0,96627.0,3.0,197.63347142,ProfExe,0.0
98,49147.0,0,8.0,,37.108142059,8900,HomeImp,,,,110.50958053,Other,
99,69663.0,0,16.0,0.0,23.3103728,15400,DebtCon,7.0,32855.0,1.0,256.2275509,ProfExe,0.0
100,50150.0,0,25.0,0.0,,20000,DebtCon,26.0,13316.0,0.0,214.03333333,Other,2.0
101,118718.0,0,20.0,0.0,26.696158705,17200,DebtCon,15.0,55254.0,0.0,276.91108293,ProfExe,0.0
102,,1,19.0,1.0,,27700,HomeImp,20.0,83300.0,1.0,247.93333333,Mgr,4.0
103,202877.0,0,30.0,0.0,34.416519814000004,40900,HomeImp,4.0,149281.0,0.0,156.78306895,ProfExe,0.0
104,,1,15.0,0.0,,14000,,23.0,65000.0,1.0,109.56666667,Other,3.0
105,101219.0,0,33.0,0.0,34.249620743,11600,HomeImp,7.0,73079.0,0.0,152.249875,ProfExe,0.0
106,87466.0,0,15.0,0.0,41.428089899,6900,HomeImp,2.0,70717.0,0.0,112.58906066,Other,0.0
107,122124.0,1,7.0,0.0,57.995018623,10300,HomeImp,1.0,70147.0,0.0,58.895685895,Other,0.0
108,191419.0,0,17.0,0.0,39.563303075,28200,HomeImp,1.0,148455.0,0.0,186.98304288,Self,0.0
109,51389.0,0,0.0,0.0,32.774331021,37700,DebtCon,,37200.0,6.0,,Other,0.0
110,128546.0,0,17.0,0.0,40.850886838,16400,DebtCon,16.0,119879.0,0.0,182.99738116,,0.0
111,55483.0,0,23.0,0.0,39.891654292,26700,DebtCon,36.0,23361.0,1.0,280.80760568,Other,0.0
112,104609.0,0,,,28.013238842,23300,HomeImp,8.0,88825.0,,,,
113,83518.0,0,9.0,0.0,7.1484132133000005,19300,DebtCon,13.0,51580.0,0.0,89.525931995,Other,0.0
114,262210.0,0,50.0,0.0,36.906664969,24300,HomeImp,6.0,236390.0,2.0,243.07790007,Self,0.0
115,58000.0,1,26.0,7.0,,15000,,4.0,40000.0,3.0,268.83333333,ProfExe,0.0
116,53120.0,0,0.0,0.0,34.985012561,36800,DebtCon,,35077.0,6.0,,Other,0.0
117,67446.0,0,7.0,0.0,37.934443412,12000,HomeImp,,,0.0,356.93333041,Other,0.0
118,14100.0,1,19.0,0.0,,3000,HomeImp,1.0,,0.0,104.2,Other,0.0
119,88627.0,1,32.0,0.0,34.639961398000004,14200,DebtCon,10.0,68750.0,0.0,219.67280084,Other,1.0
120,143168.0,1,,,35.733567330999996,23500,DebtCon,10.0,,,,Office,
121,123854.0,0,38.0,0.0,36.205114552,8100,HomeImp,31.0,84822.0,2.0,340.7444307,Office,0.0
122,180000.0,0,17.0,0.0,,20000,,11.0,69742.61,1.0,366.3,Other,0.0
123,102936.0,0,20.0,0.0,19.078651168,11100,DebtCon,9.0,67366.0,0.0,213.28149573,Other,0.0
124,80691.0,0,6.0,1.0,39.852146515,5100,HomeImp,1.0,72891.0,0.0,273.88170516,Other,0.0
125,110885.0,0,16.0,0.0,39.666054406,13600,DebtCon,12.0,90519.0,3.0,201.83559082,Other,0.0
126,,1,14.0,0.0,32.327262456,15800,,23.0,69928.0,1.0,82.443985587,Other,3.0
127,76500.0,0,30.0,2.0,,10000,DebtCon,5.0,63218.0,3.0,183.66666667,Office,3.0
128,94895.0,0,20.0,1.0,33.70161545,20500,DebtCon,1.0,93761.0,0.0,118.27605096,ProfExe,0.0
129,62245.0,0,28.0,0.0,37.821851509,9400,DebtCon,23.0,53244.0,3.0,276.78774402,Other,0.0
130,115365.0,0,16.0,0.0,24.962851371,16900,DebtCon,19.0,88143.0,0.0,282.06851776,Other,0.0
131,63775.0,1,14.0,0.0,,8300,HomeImp,0.0,10000.0,0.0,200.86666667,Other,0.0
132,84947.0,0,37.0,0.0,42.236189141,13900,DebtCon,13.0,62968.0,3.0,239.77323213,Office,0.0
133,72716.0,0,17.0,0.0,35.558171284000004,12900,DebtCon,2.0,59191.0,1.0,175.17044098,Other,0.0
134,211400.0,0,27.0,0.0,39.848391232,26800,HomeImp,6.0,145745.0,1.0,184.71163469,ProfExe,0.0
135,63268.0,0,34.0,0.0,36.736870753000005,10500,HomeImp,4.0,60145.0,0.0,122.49607792,Other,0.0
136,53190.0,0,0.0,0.0,15.174415003,6000,HomeImp,0.0,,0.0,,,0.0
137,272874.0,0,32.0,0.0,31.427582447,37900,DebtCon,3.0,201996.0,0.0,249.82659249999998,ProfExe,0.0
138,179599.0,0,30.0,0.0,36.359104168,26500,DebtCon,15.0,112059.0,0.0,313.2053014,Sales,0.0
139,93277.0,0,23.0,0.0,29.875928066999997,16700,HomeImp,14.0,5106.0,0.0,269.96268873,Other,0.0
140,175000.0,0,31.0,0.0,,25000,DebtCon,17.0,109000.0,1.0,298.33333333,Sales,0.0
141,77741.0,1,17.0,0.0,37.773300594,8900,DebtCon,8.0,62733.0,3.0,68.890096166,Mgr,0.0
142,74510.0,0,23.0,0.0,41.863376119,15200,DebtCon,17.0,47200.0,0.0,174.5215618,ProfExe,0.0
143,103048.0,0,32.0,0.0,37.289989924000004,6000,HomeImp,0.0,79046.0,0.0,181.69653802,Other,0.0
144,122901.0,0,26.0,0.0,33.896642978,11100,DebtCon,3.0,105226.0,1.0,113.68878037,,0.0
145,67000.0,0,19.0,0.0,,21000,DebtCon,7.0,42000.0,2.0,66.633333333,Other,0.0
146,73550.0,1,11.0,6.0,,8500,HomeImp,11.0,48961.0,4.0,145.1,Other,1.0
147,83000.0,1,43.0,0.0,,6900,HomeImp,1.0,37055.0,2.0,122.26666667,Sales,0.0
148,157731.0,0,18.0,0.0,39.167062892,45200,DebtCon,17.0,89427.0,8.0,209.76702855,Other,0.0
149,114053.0,0,27.0,0.0,,12200,DebtCon,11.0,91000.0,0.0,173.5,Other,0.0
150,44066.0,0,8.0,0.0,27.751942776,14900,HomeImp,0.0,,1.0,313.77973109,Other,0.0
151,158739.0,0,31.0,,42.301907236,41500,DebtCon,13.0,97536.0,3.0,212.77443455,Other,1.0
152,105411.0,0,35.0,0.0,29.283032501999998,23600,DebtCon,14.0,57327.0,0.0,276.18236267,ProfExe,3.0
153,31681.0,0,15.0,0.0,29.741908938,27100,HomeImp,23.0,,2.0,92.51403036200001,Other,0.0
154,86804.0,0,15.0,,37.433784588,21000,DebtCon,5.0,63405.0,,156.87275074,Office,
155,81273.0,0,14.0,0.0,19.626149514,13900,DebtCon,7.0,11413.0,0.0,239.08369595,Other,0.0
156,75569.0,0,30.0,,40.874619093,25200,DebtCon,25.0,51789.0,1.0,281.92868460000005,Other,1.0
157,86250.0,0,16.0,,,19000,DebtCon,5.0,57429.0,,175.5,Office,
158,87361.0,0,6.0,2.0,38.766985071,5100,HomeImp,0.0,66834.0,0.0,290.03410799,Other,0.0
159,80550.0,1,14.0,1.0,35.38186329,31200,DebtCon,21.0,38352.0,0.0,116.43790759999999,Mgr,0.0
160,54375.0,1,18.0,1.0,,17000,DebtCon,1.0,36420.0,1.0,77.7,Other,0.0
161,188500.0,1,14.0,0.0,,25000,DebtCon,0.7,104000.0,1.0,194.8,Other,11.0
162,118156.0,0,18.0,0.0,32.171631931,16500,DebtCon,9.0,94920.0,2.0,295.28552348,Other,0.0
163,86125.0,1,8.0,0.0,,7500,HomeImp,5.0,63500.0,0.0,136.1,Other,0.0
164,82000.0,1,,,,17000,,,52663.0,,,,
165,84439.0,0,26.0,0.0,32.210050357,15200,DebtCon,1.0,71233.0,2.0,242.98332141,Other,0.0
166,50486.0,0,19.0,,27.532376106999997,6600,HomeImp,10.0,40926.0,,179.80086812,Office,
167,48375.0,0,13.0,0.0,31.688818251999997,25100,DebtCon,28.0,28244.0,,303.09508449,Other,0.0
168,56874.0,1,11.0,0.0,,27400,DebtCon,3.0,23939.0,0.0,197.8,Office,1.0
169,59000.0,0,10.0,1.0,,14800,DebtCon,6.0,38000.0,2.0,107.53333333,,0.0
170,112200.0,0,16.0,1.0,,10000,,16.0,96000.0,0.0,258.73333333,Office,0.0
171,95236.0,0,15.0,0.0,24.590633188,18300,,10.0,55584.0,1.0,,ProfExe,0.0
172,115065.0,0,31.0,0.0,42.050244454,25100,DebtCon,5.0,73398.0,2.0,88.606337474,Other,0.0
173,139200.0,0,15.0,0.0,39.916957294,20200,DebtCon,10.0,88020.0,3.0,99.04640244,Other,0.0
174,89848.0,0,19.0,0.0,24.072191355999998,17900,DebtCon,7.0,62697.0,0.0,113.05889691,Office,0.0
175,148769.0,0,11.0,0.0,43.519942711000006,64900,HomeImp,10.0,69786.0,0.0,129.08447886,Office,0.0
176,96677.0,0,30.0,0.0,35.327836168000005,16900,DebtCon,1.0,71672.0,0.0,153.79169482,Other,0.0
177,65024.0,0,25.0,0.0,40.867869731999996,50400,DebtCon,12.0,53024.0,1.0,103.18576169,Office,0.0
178,79754.0,0,16.0,0.0,,8000,DebtCon,3.8,63700.0,0.0,208.0,,0.0
179,156306.0,0,16.0,0.0,35.750060441,17300,HomeImp,4.0,99064.0,0.0,90.449522446,ProfExe,0.0
180,92544.0,0,26.0,1.0,34.565876305,25100,DebtCon,8.0,66938.0,4.0,135.66507023,ProfExe,1.0
181,89099.0,0,11.0,0.0,40.174430056,11500,DebtCon,9.0,70409.0,0.0,169.40165199,ProfExe,0.0
182,42845.01,1,18.0,0.0,,12000,DebtCon,6.5,15231.0,2.0,65.966666667,Office,1.0
183,97086.0,0,19.0,0.0,34.68253701,24100,DebtCon,6.0,61811.0,1.0,222.62659082,Other,0.0
184,84059.0,0,36.0,0.0,41.433943797,11200,DebtCon,12.0,68890.0,3.0,254.01968935,Office,0.0
185,73181.0,0,23.0,1.0,36.394795447,12900,HomeImp,29.0,56957.0,1.0,179.09616602,Other,3.0
186,63000.0,1,18.0,0.0,,8000,DebtCon,5.0,47823.0,2.0,53.666666667,Other,0.0
187,157923.0,0,30.0,,40.908479949000004,41200,DebtCon,14.0,99653.0,3.0,213.48287428,Other,1.0
188,179454.0,0,19.0,1.0,41.136159259,28700,DebtCon,1.0,133188.0,1.0,223.34866354,ProfExe,0.0
189,144940.0,1,22.0,0.0,,21900,DebtCon,13.0,108000.0,1.0,260.76666667,Other,0.0
190,88934.0,0,16.0,0.0,34.571519125,89900,DebtCon,15.0,48811.0,0.0,219.60100218,Other,0.0
191,40807.0,0,13.0,1.0,20.39892362,27500,DebtCon,8.0,,,95.533519165,Other,
192,55760.0,0,16.0,,35.763637997,5400,DebtCon,6.0,48152.0,,78.45212576600001,,0.0
193,51610.0,1,18.0,0.0,,7500,HomeImp,4.0,,2.0,158.26666667,ProfExe,3.0
194,59692.0,0,13.0,1.0,38.704985068,9500,HomeImp,1.0,43210.0,,103.08948312,Other,
195,146815.0,0,25.0,1.0,39.345858588,24900,DebtCon,19.0,89530.0,1.0,164.77031037,ProfExe,0.0
196,48393.0,0,3.0,0.0,34.385367068,12300,HomeImp,10.0,27859.0,0.0,82.760160333,Other,0.0
197,82567.0,0,13.0,0.0,27.390380405,12700,HomeImp,3.0,53199.0,0.0,185.32503543,Other,1.0
198,75957.0,1,22.0,0.0,40.787975749,25000,DebtCon,9.0,47032.0,3.0,259.46652785,Other,7.0
199,57132.0,0,14.0,0.0,42.81224294,11800,DebtCon,,44944.0,0.0,74.156045076,Other,0.0
200,105798.0,1,3.0,0.0,26.956697895999998,9300,DebtCon,2.0,84900.0,1.0,41.807204596,ProfExe,0.0
201,127247.0,0,30.0,0.0,39.025926424,25200,DebtCon,8.0,94712.0,0.0,166.82201,Office,0.0
202,70543.0,1,19.0,0.0,32.397593406,6700,HomeImp,5.0,60301.0,0.0,195.78086332,ProfExe,0.0
203,,1,71.0,0.0,38.228344754,15700,DebtCon,25.0,149305.0,0.0,382.85883592,ProfExe,2.0
204,99564.0,0,,,28.978621413000003,23400,HomeImp,8.0,91165.0,,,,
205,196124.0,0,15.0,0.0,40.120168319,11300,HomeImp,0.0,124205.0,0.0,332.72338954,Office,1.0
206,206201.0,0,7.0,0.0,21.28386768,9800,HomeImp,12.0,81199.0,,2.8207855775,Self,0.0
207,114266.0,0,25.0,0.0,37.943868201,23600,DebtCon,,82639.0,2.0,186.15634723,Other,0.0
208,70000.0,0,17.0,0.0,,9400,DebtCon,4.0,57000.0,2.0,179.56666667,Other,0.0
209,79893.0,0,29.0,2.0,35.020885785,12500,HomeImp,10.0,53354.0,1.0,249.43595428,Office,0.0
210,180539.0,0,43.0,,39.593595223,24000,DebtCon,6.0,144975.0,5.0,193.1196811,ProfExe,
211,33926.0,0,3.0,0.0,29.599780196999998,22200,DebtCon,0.0,9709.0,1.0,28.523782719,Other,0.0
212,71169.0,0,19.0,0.0,35.552088145999996,22700,DebtCon,6.0,46929.0,2.0,57.880815934,Other,0.0
213,159076.0,0,27.0,0.0,20.415931614,18200,DebtCon,20.0,49653.0,0.0,231.54972268,ProfExe,0.0
214,73500.0,1,33.0,0.0,,30200,DebtCon,14.0,36000.0,0.0,202.96666667,Office,1.0
215,99896.0,0,21.0,0.0,39.408871403,15300,DebtCon,1.0,82439.0,1.0,281.20032907,ProfExe,0.0
216,122362.0,0,24.0,0.0,29.809835155,22800,HomeImp,8.0,96495.0,2.0,120.97929170000002,Mgr,0.0
217,293118.0,0,22.0,0.0,38.181027322,30800,DebtCon,29.0,195221.0,0.0,151.95741818,Other,0.0
218,48240.0,0,12.0,0.0,,7200,DebtCon,15.0,36264.0,0.0,82.166666667,Other,0.0
219,63614.0,0,12.0,0.0,40.244404369,6400,HomeImp,23.0,17491.0,0.0,325.29930871,Office,0.0
220,92000.0,1,34.0,0.0,,9700,DebtCon,8.0,73085.0,0.0,173.5,Other,3.0
221,69907.0,0,35.0,0.0,41.119153488,13300,DebtCon,1.0,57878.0,2.0,154.48481378,ProfExe,0.0
222,71552.0,0,23.0,2.0,40.315396586999995,6200,HomeImp,3.0,70793.0,0.0,162.94515692,Sales,0.0
223,71327.0,0,18.0,0.0,37.014140786,24400,DebtCon,6.0,50317.0,1.0,45.485801767,Other,0.0
224,53907.0,0,13.0,0.0,34.408948419,10500,HomeImp,10.0,,2.0,308.21326219,Other,0.0
225,83010.0,0,11.0,0.0,35.999610723,12700,DebtCon,1.0,58606.0,3.0,125.32588539,Other,0.0
226,73068.0,0,16.0,0.0,22.383856558,15200,DebtCon,20.0,47453.0,0.0,196.69969558,ProfExe,0.0
227,89800.0,1,16.0,0.0,,12000,HomeImp,29.9,48786.0,1.0,220.13333333,ProfExe,5.0
228,140428.0,0,25.0,1.0,40.980615645,23700,DebtCon,22.0,87141.0,1.0,169.28363143,ProfExe,0.0
229,109500.0,0,21.0,0.0,,15900,DebtCon,7.0,88000.0,2.0,138.0,ProfExe,0.0
230,83500.0,0,23.0,0.0,,8000,DebtCon,8.0,70917.0,0.0,107.5,Mgr,0.0
231,55669.0,0,18.0,0.0,37.654075235,23800,DebtCon,,,0.0,308.42512578,Other,1.0
232,111507.0,0,23.0,,39.491487113000005,17900,HomeImp,1.0,56273.0,1.0,123.02256355,Office,2.0
233,95315.0,0,23.0,0.0,35.474773102,16000,HomeImp,24.0,71861.0,1.0,241.41251498,ProfExe,0.0
234,92255.0,1,17.0,0.0,1.8555399803000001,26500,DebtCon,2.0,61223.0,0.0,214.03253889,Other,1.0
235,106093.0,0,32.0,0.0,40.212234830999996,28700,DebtCon,11.0,67951.0,0.0,263.74392226,ProfExe,0.0
236,77300.0,1,19.0,0.0,,23800,DebtCon,15.0,19612.0,0.0,173.46666667,ProfExe,6.0
237,50602.0,0,11.0,1.0,25.357164928000003,24000,HomeImp,3.0,31243.0,,135.19851865,Self,
238,84689.0,0,29.0,0.0,30.526150723,6900,DebtCon,4.0,51384.0,3.0,224.24703689999998,,0.0
239,120172.0,0,26.0,0.0,36.398728722,23400,DebtCon,2.0,97865.0,1.0,200.57575228,Self,0.0
240,118359.0,0,8.0,0.0,37.78182264,15900,DebtCon,13.0,94078.0,1.0,125.55199939,Other,0.0
241,76544.0,0,31.0,0.0,32.841753914,17200,DebtCon,5.0,48999.0,3.0,240.52274651,ProfExe,0.0
242,118505.0,0,,,35.890562469,14600,,,82051.0,,,,
243,84078.0,0,13.0,0.0,29.133697408000003,10300,HomeImp,2.0,54925.0,0.0,189.69527288,Other,1.0
244,94396.0,0,21.0,0.0,36.107340903,17100,DebtCon,7.0,56791.0,1.0,110.29408781,ProfExe,0.0
